"citation_id","citation"
"cite0169","Gates, Hill. 1983. Prosperity Settlement: The Politics of PAIPAI in Taipei, Taiwan. Ann Arbor, Mich.: University Microfilms."
"cite0170","Gould-Martin, Katherine. 1975. “Medical Systems in a Taiwan Village: ONG-IA-KONG, the Plague God as Modern Physician.” In Medicine in Chinese Cultures : Comparative Studies of Health Care in Chinese and Other Societies, 115–41."
"cite0171","Harrell, Stevan. 1982. “Ploughshare Village: Culture and Context in Taiwan.” In Publications on Asia of the School of International Studies, University of Washington, ix, 234. Seattle: University of Washington Press."
"cite0172","Martin, Emily. 1975. “Chinese-Style and Western-Style Doctors in Northern Taiwan.” In Medicine in Chinese Cultures : Comparative Studies of Health Care in Chinese and Other Societies, 209–18. Washington, D.C.: U.S. Department of Health, Education, and Welfare, National Institutes of Health."
"cite0173","Martin, Emily. 1975. “Sacred and Secular Medicine in a Taiwan Village: A Study of Cosmological Disorders.” In Medicine in Chinese Cultures : Comparative Studies of Health Care in Chinese and Other Societies, 91–113. Washington, D.C.: U.S. Department of Health, Education, and Welfare, National Institutes of Health."
"cite0174","Tseng, Wen-shing. 1975. “Traditional and Modern Psychiatric Care in Taiwan.” In Medicine in Chinese Cultures : Comparative Studies of Health Care in Chinese and Other Societies, 177–94. Washington, D.C.: U.S. Department of Health, Education, and Welfare, National Institutes of Health."
"cite0175","Wolf, Margery. 1972. Women and the Family in Rural Taiwan. Stanford, Calif.: Stanford University Press."
"cite0176","Balzer, Marjorie Mandelstam. 1997. “Culture Summary: Yakut.” New Haven, Conn.: HRAF."
"cite0177","Culshaw, W. J. 1949. “Tribal Heritage: A Study of the Santals.” In Missionary Research Series, xii, 222. London: Lutterworth Press."
"cite0178","Leach, Edmund R. 1961. Pul Eliya, a Village in Ceylon: A Study of Land Tenure and Kinship. Cambridge, England: University Press."
"cite0179","Pongsapich, Amara, James Hafner, Suriya Veeravongs, and Napas Sirisumbhand. 1979. Institutional and Human Resources Development in the Chonburi Region. Bangkok, Thailand: Chulalongkorn University Social Science Research Institute."
"cite0180","Hanks, Jane Richardson. 1963. “Maternity and Its Ritual in Bang Chan.” In Data Paper, ii, vii, 128. Ithaca, N.Y.: Cornell University, Department of Asian Studies, Southeast Asia Program."
"cite0181","Hauck, Hazel Marie, Cornell University. Thailand Project, Anusith Rejatasilpin, Sapha Indrasud, Chumlong Kittiveja, and Saovanee Sudsaneh. 1956. “Aspects of Health, Sanitation and Nutritional Status in a Siamese Rice Village: Studies in Bang Chan, 1952-1954.” In Data Paper, ix, 73. Ithaca, N.Y.: Cornell University, Southeast Asia Program."
"cite0182","Ingersoll, Jasper Cooke. 1966. “Fatalism in Village Thailand.” Anthropological Quarterly Vol. 39 (no. 3): 200–225."
"cite0183","Kaufman, Howard Keva. 1960. “Bangkhuad: A Community Study in Thailand.” In Monographs, 10, 235 , plates. Locust Valley, N.Y.: Published for the Association for Asian Studies by."
"cite0184","Mulder, Niels. 1996. Inside Thai Society: Interpretations of Everyday Life. Amsterdam: The Pepin Press."
"cite0185","Sharp, Lauriston, and Lucien M. (Lucien Mason) Hanks. 1978. “Bang Chan: Social History of a Rural Community in Thai.” In Cornell Studies in Anthropology, 315. Ithaca, N.Y.: Cornell University Press."
"cite0186","Thongthew-Ratarasarn, Somchintana. 1979. “The Socio-Cultural Setting of Love Magic in Central Thailand.” In Wisconsin Papers on Southeast Asia, 1, 44. Madison, Wisc.: Center for Southeast Asian Studies, University of  Wisconsin-Madison."
"cite0187","Textor, Robert B., Cornell University. Southeast Asia Program, and Yale University. Southeast Asia Studies. 1973. “Roster of the Gods: An Ethnography of the Supernatural in a Thai Village.” In Ethnography Series, 3, 44, 911 leaves. New Haven, Conn.: Human Relations Area Files."
"cite0188","Sandin, Benedict, and Clifford Sather. 1980. Iban Adat and Augury. [George Town] Penang: Penerbit Universiti Sains Malaysia for School of Comparative Social Sciences."
"cite0189","Sandin, Benedict. 1976. Iban Way of Life: A Translation from Tusun Pandiau. Kuching: Borneo Literature Bureau."
"cite0190","Sandin, Benedict. 1967. The Sea Dayaks of Borneo: Before White Rajah Rule. London: MacMillan & Co. Ltd."
"cite0191","Davison, Julian, and Vinson H. Sutlive. 1991. “The Children of NISING: Images of Headhunting and Male Sexuality in Iban Ritual and Oral Literature.” In Female and Male in Borneo : Contributions and Challenges to Gender Studies, vol. 1:153–230. Williamsburg, Va.: The Borneo Research Council, Inc., Department of Anthropology, College of William and Mary."
"cite0192","Freeman, Derek. 1955. “Iban Agriculture: A Report on the Shifting Cultivation of Hill Rice by the Iban of Sarawak.” In Colonial Research Studies, xii, 148 , plates. London, England: Her Majesty’s Stationery Office."
"cite0193","Graham, Penelope. 1987. “Iban Shamanism: An Analysis of the Ethnographic Literature.” In Occasional Paper of the Department of Anthropology, Research School of Pacific Studies, the Australian National University, x, 174. Canberra, A.C.T.: [Department of Anthropology, Research School of Pacific Studies, the Australian National University]."
"cite0194","Mashman, Valerie. 1991. “Warriors and Weavers: A Study of Gender Relations among the Iban of Sarawak.” In Female and Male in Borneo : Contributions and Challenges to Gender Studies, vol. 1:231–70. Williamsburg, Va.: The Borneo Research Council, Inc., Department of Anthropology, College of William and Mary."
"cite0195","Pringle, Robert Maxwell. 1968. The Ibans of Sarawak under Brooke Rule, 1841-1941. Ann Arbor, Mich.: University Microfilms."
"cite0196","Sutlive, Vinson H., and Sarawak Literary Society. 1992. Tun Jugah of Sarawak: Colonialism and Iban Response. Kuala Lumpur: Fajar Bakti."
"cite0197","Barton, Roy Franklin. 1946. “The Religion of the Ifugao.” In Memoir, 219. Menasha, Wis.: American Anthropological Association."
"cite0198","Dumia, Mariano A. 1979. The Ifugao World. Quezon City, Republic Of The Philippines: New Day Publishers."
"cite0199","Darling, Frank Fraser. 1955. “West Highland Survey: An Essay in Human Ecology.” London: Oxford University Press."
"cite0200","Gregor, Mary J. F., and Ruth M. Crichton. 1946. From Croft to Factory: The Evolution of an Industrial Community in the Highlands. London: Thomas Nelson and Sons."
"cite0201","Anderson, Myrdene, and Hugh Beach. 1996. “Culture Summary: Saami.” New Haven, Conn.: HRAF."
"cite0202","Anderson, Myrdene. 1978. Saami Ethnoecology: Resource Management in Norwegian Lapland. Ann Arbor, Mich.: University Microfilms International."
"cite0203","Beach, Hugh. 1981. “Reindeer-Herd Management in Transition: The Case of Tuorpon Saameby in Northern Sweden.” In Acta Universitatis Upsaliensis. Uppsala Studies in Cultural Anthropology, xix, 542 , [17]  of plates (1 folded). Uppsala: [Uppsala Universitet] ; Distributed by Almqvist & Wiskell International."
"cite0204","Halpern, Barbara. 1986. “The Complementarity of Women’s Ritual Roles in a Patriarchal Society.” In Papers on a Serbian Village : 1986, by Joel M. Halpern, Barbara Kerewsky-Halpern, 42–62. Amherst, Mass.: International Area Studies Programs, University of Massachusetts at Amherst."
"cite0205","Wagner, Richard A. 1997. “Culture Summary: Serbs.” New Haven, Conn.: HRAF."
"cite0206","Marshall, Donald Stanley. [nd]-/. “Cuna Folk: A Conceptual Scheme Involving the Dynamic Factors of Culture, as Applied to the Cuna Indians of Darien.” In . [S.L.]: [s.n.]."
"cite0207","Kennedy, John G. 1978. “Tarahumara of the Sierra Madre: Beer, Ecology, and Social Organization.” In Worlds of Man, viii, 245 , [16]  of plates. Arlington Heights, Ill.: AHM Pub. Corp."
"cite0208","Barth, Fredrik. 1953. “Principles of Social Organization in Southern Kurdistan.” In Bulletin, 146. Oslo: Brodrene Jorgensen A/S."
"cite0209","Masters, William Murray. 1953. Rowanduz: A Kurdish Administrative and Mercantile Center. [S.L.]: [s.n.]."
"cite0210","Condon, Richard G. (Richard Guy). 1987. “Inuit Youth: Growth and Change in the Canadian Arctic.” In Adolescents in a Changing World, 252. New Brunswick, N.J.: Rutger University Press."
"cite0211","Rasmussen, Knud. 1932. “Intellectual Culture of the Copper Eskimos.” In Report of the Fifth Thule Expedition, 1921-1924, vol. IX:350 , plates. Copenhagen, Denmark: [s.n.]."
"cite0212","Buffalohead, Priscilla K. 1983. “Farmers, Warriors, Traders: A Fresh Look at Ojibway Women.” Minnesota History Vol. 48 (no. 6): 236–44."
"cite0213","Landes, Ruth. 1937. “Ojibwa Sociology.” In Contributions to Anthropology, vol. 29:144 , plates. New York: Columbia University Press."
"cite0214","Landes, Ruth. 1938. The Ojibwa Woman. New York: Columbia University Press."
"cite0215","Meyer, Melissa L. (Melissa Lee). 1994. The White Earth Tragedy: Ethnicity and Dispossession at a Minnesota Anishinaabe Reservation, 1889-1920. Lincoln: University of Nebraska Press."
"cite0216","Peers, Laura L. (Laura Lynn). 1994. “The Ojibwa of Western Canada, 1780 to 1870.” In Manitoba Studies in Native History, xviii, 288. St. Paul: Minnesota Historical Society Press."
"cite0217","Ritzenthaler, Robert Eugene. 1953. “Chippewa Preoccupation with Health: Change in a Traditional Attitude Resulting from Modern Health Problems.” In Bulletin, Vol. 19:175–257. Milwaukee: [s.n.]."
"cite0218","Steinbring, Jack. 1981. “Saulteaux of Lake Winnipeg.” In Handbook of North American Indians. Subarctic, Vol. 6:244–55. Washington, D. C.: Smithsonian Institution : For sale by the Supt. of Docs., U.S. G. P. O."
"cite0219","Fenton, William N. 1942. “Contacts between Iroquois Herbalism and Colonial Medicine.” In Annual Report of the Board of Regents of the Smithsonian Institution Showing the Operation, Expenditures, and Condition of the Institution for the Year Ended June 30, 1941, 503–26 , plates. Washington, D.C.: Smithsonian Institution."
"cite0220","Morgan, Lewis Henry, and Herbert M. Lloyd. 1901. League of the Ho-De’-No-Sau-Nee or Iroquois. Vol. II. New York: Dodd, Mead and Company."
"cite0221","Tollefson, Kenneth D. 1988. “The Cultural Foundation of Political Revitalization among the Tlingit.” In . Ann Arbor, Michigan: Xerox University Microfilms."
"cite0222","Ewers, John Canfield. 1955. “The Horse in Blackfoot Indian Culture, with Comparative Material from Other Western Tribes.” In Bulletin, xv, 374. Washington: U. S. Govt. Print. Off."
"cite0223","Goldfrank, Esther Schiff. 1967. “‘Old Man’ and the Father Image in Blood (Blackfoot) Society.” In Psychoanalysis and Culture, Essays in Honor of Geza Roheim, 132–41. New York: Science Editions, John Wiley & Sons."
"cite0224","Hanks, Lucien M. (Lucien Mason), and Jane Richardson Hanks. 1950. Tribe under Trust: A Study of the Blackfoot Reserve of Alberta. Toronto: University of Toronto Press."
"cite0225","Aberle, David Friend. 1951. “The Psychosocial Analysis of a Hopi Life-History.” In Comparative Psychology Monographs, 6, 133. Berkeley And Los Angeles: University of California Press."
"cite0226","Beaglehole, Ernest, and Pearl Beaglehole. 1935. “Hopi of the Second Mesa.” In Memoirs of the American Anthropological Association, 65. Menasha, Wisconsin: American Anthropological Association."
"cite0227","Beaglehole, Ernest, and Pearl Beaglehole. 1937. “Notes on Hopi Economic Life.” In Yale University Publications in Anthropology, 2, 88. New Haven: Pub. for the Section of Anthropology, Department of the Social Sciences, Yale University, by the Yale University Press ; H. Milford, Oxford University Press."
"cite0228","Dennis, Wayne. 1940. The Hopi Child. New York: D. Appleton-Century Company, Incorporated, for the Institute for Research in the Social Sciences, University of Virginia."
"cite0229","Titiev, Mischa. 1972. The Hopi Indians of Old Oraibi: Change and Continuity. Ann Arbor: University of Michigan Press."
"cite0230","Waters, Frank, and Oswald White Bear Fredericks. 1963. Book of the Hopi. New York: Viking Press."
"cite0231","Pospisil, Leopold J. 1963. “Kapauku Papuan Economy.” In Yale University Publications in Anthropology, 502 , plates. New Haven, Conn.: Dept. of Anthropology, Yale University."
"cite0232","Pospisil, Leopold J. 1978. “The Kapauku Papuans of West New Guinea.” In Case Studies in Cultural Anthropology, x, 130. New York: Holt, Rinehart, and Winston."
"cite0233","Malinowski, Bronislaw. 1929. The Sexual Life of Savages in Northwestern Melanesia: Vol. 1 and 2. New York: Horace Liveright."
"cite0234","Seligman, C. G. (Charles Gabriel). 1910. “The Northern Massim.” In The Melanesians of British New Guinea, by C. G. Seligmann, 660–735. Cambridge, U.K.: Cambridge University Press."
"cite0235","Bollig, Laurentius. 1927. The Inhabitants of the Truk Islands: Religion, Life and a Short Grammar of a Micronesian People. Munster I W.: Aschendorff."
"cite0236","Fischer, Ann. 1963. “Reproduction in Truk.” Ethnology Vol. 2: 526–40."
"cite0237","Fischer, John L. 1958. “Native Land Tenure in the Truk District.” In Land Tenure Patterns : Trust Territory of the Pacific Islands, 161–215. Guam: [Office of the High Commissioner, Trust Territory of the Pacific Islands]."
"cite0238","Goodenough, Ward Hunt. 1951. “Property, Kin, and Community on Truk.” In Yale University Publications in Anthropology, 192. New Haven: Published for Dept. of Anthropology, Yale University, Yale University Press."
"cite0239","Goodenough, Ward Hunt. 1986. “Sky World and This World: The Place of Kachaw in Micronesian Cosmology.” American Anthropologist Vol. 88 (no. 3): 551–68."
"cite0240","LeBar, Frank M. {nd}-/. “The Material Culture of Truk.” {S.L.}: {s.n.}."
"cite0241","Marshall, Mac. 1979. “Weekend Warriors: Alcohol in a Micronesian Culture.” In Explorations in World Ethnology, xiv, 170. Palo Alto, Calif.: Mayfield Pub. Co."
"cite0242","Firth, Raymond. 1970. Rank and Religion in Tikopia: A Study in Paganism and Conversion to Christianity. Boston, Mass.: Beacon Press."
"cite0243","Firth, Raymond. 1954. “The Sociology of ‘Magic’ in Tikopia.” Sociologus, N.s. Vol. 4: 97–116."
"cite0244","Firth, Raymond. 1936. We, the Tikopia: A Sociological Study of Kinship in Primitive Polynesia. London, England: George Allen and Unwin, Ltd."
"cite0245","Price, Richard. 1983. “First-Time: The Historical Vision of an Afro-American People.” In Johns Hopkins Studies in Atlantic History and Culture, 189. Baltimore: Johns Hopkins University Press."
"cite0246","Price, Sally. 1993. “Co-Wives and Calabashes.” In Women and Culture, xxxi, 224. Ann Arbor: University of Michigan Press."
"cite0247","Jackson, Jean E. (Jean Elizabeth). 1983. “The Fish People: Linguistic Exogamy and Tukanoan Identity in Northwest Amazonia.” In Cambridge Studies in Social Anthropology, xix, 287. Cambridge [Cambridgeshire]: Cambridge University Press."
"cite0248","Buechler, Hans C., and Judith-Maria Buechler. 1971. “The Bolivian Aymara.” In Case Studies in Cultural Anthropology, 12, 114. New York: Holt, Rinehart and Winston."
"cite0249","Barre, Weston La. 1948. “The Aymara Indians of the Lake Titicaca Plateau.” In Memoirs, vol. 50:250 , plates. Menasha, Wis.: American Anthropological Association."
"cite0250","Borges, Dain Edward. 1994. The Family in Bahia, Brazil, 1870-1945. Stanford, Calif.: Stanford University Press."
"cite0251","Pierson, Donald, and Herman R. Lantz. 1967. “Negroes in Brazil.” In Perspectives in Sociology, lxxxiii, 420. Carbondale: Southern Illinois University Press."
"cite0252","Ganson, Barbara Anne. 1994. Better Not Take My Manioc: Guarani Religion, Society, and Politics in the Jesuit Missions of Paraguay. Ann Arbor, Michigan: UMI."
"cite0253","Clark, Gracia. 1994. Onions Are My Husband: Survival and Accumulation by West African Market Women. Chicago: University of Chicago Press."
"cite0254","Ffoulkes, Arthur. 1909. “Fanti Marriage Customs.” Journal of the African Society Vol. VIII: 31–48."
"cite0255","Bohannan, Paul, and Laura Bohannan. 1968. “Tiv Economy.” In African Studies, viii, 265. Evanston [Ill.]: Northwestern University Press."
"cite0256","Klein, Laura F. (Frances). 1988. Tlingit Women and Town Politics. Ann Arbor, Michigan: Xerox University Microfilms."
"cite0257","Arhem, Kaj. 1981. “Makuna Social Organization: A Study in Descent, Alliance, and the Formation of Corporate Groups in the North-Western Amazon.” In Uppsala Studies in Cultural Anthropology, 379. Uppsala: Academiae Upsaliensis ; Distributed by Almqvist &Wiksell International."
